image_id,ground_truth,predicted_grade,raw_confidence,split,probability_0,probability_1,probability_2,probability_3,probability_4
33e7bf536fc5,0,0,0.8873,test,0.8873,0.0245,0.0443,0.006,0.0378
fc4d69128e7c,2,3,0.4816,test,0.0167,0.0069,0.305,0.4816,0.1898
a32886cb31ab,1,4,0.443,test,0.0056,0.1804,0.2186,0.1523,0.443
0773a1c326ad,0,0,0.9822,test,0.9822,0.001,0.0029,0.0018,0.0121
af7a36454670,0,0,0.9424,test,0.9424,0.0104,0.0153,0.0092,0.0227
9878db94d9f3,3,3,0.8854,test,0.0001,0.0004,0.0382,0.8854,0.076
f6f7dba7104d,1,4,0.4131,test,0.0187,0.0431,0.3365,0.1886,0.4131
f5c953bee7cd,0,0,0.9724,test,0.9724,0.0085,0.0102,0.0036,0.0053
2a4520f1f9a3,0,0,0.997,test,0.997,0.001,0.0013,0.0004,0.0004
96ce10a1dbd7,0,0,0.9517,test,0.9517,0.0206,0.016,0.0041,0.0076
ab32db41c409,0,0,0.9722,test,0.9722,0.0057,0.0088,0.0042,0.0091
37c523296d42,0,0,0.9939,test,0.9939,0.0022,0.0022,0.001,0.0008
ff59d44a70a7,0,0,0.9877,test,0.9877,0.0051,0.0035,0.0019,0.0018
be8697eb2078,0,0,0.6781,test,0.6781,0.0637,0.096,0.0743,0.088
ec6659926105,0,0,0.9483,test,0.9483,0.0081,0.0163,0.0112,0.0161
e23add229074,4,3,0.3677,test,0.0607,0.0186,0.223,0.3677,0.33
e3ab63dc9a60,4,4,0.4186,test,0.0284,0.1177,0.3796,0.0558,0.4186
7f39c36469b5,0,0,0.5778,test,0.5778,0.0869,0.0849,0.0366,0.2138
33b978734eab,0,0,0.9427,test,0.9427,0.0034,0.0114,0.0355,0.0071
937bc1b924b1,0,0,0.8756,test,0.8756,0.0106,0.029,0.0108,0.074
e34fa07bd64d,2,4,0.4924,test,0.024,0.0162,0.0588,0.4086,0.4924
0b3efe669365,0,0,0.9347,test,0.9347,0.0022,0.0179,0.0269,0.0183
f762c272c522,1,2,0.5186,test,0.0073,0.0497,0.5186,0.3157,0.1086
4dd14c380696,0,0,0.9014,test,0.9014,0.0048,0.0322,0.0107,0.051
a1872f9c0cba,0,0,0.9437,test,0.9437,0.0016,0.0078,0.0271,0.0198
0f364b7d4384,0,0,0.9328,test,0.9328,0.0157,0.0295,0.0068,0.0152
8bf05909e1e1,0,0,0.988,test,0.988,0.0027,0.0043,0.0029,0.0021
7ba6b23c4b46,0,0,0.5034,test,0.5034,0.0627,0.2207,0.169,0.0443
15cd5f52d300,2,3,0.3402,test,0.006,0.0161,0.3359,0.3402,0.3019
f5e6226bd2e0,4,3,0.5537,test,0.001,0.0053,0.288,0.5537,0.1519
00f6c1be5a33,0,0,0.9744,test,0.9744,0.0064,0.0081,0.004,0.007
896ad584a841,0,0,0.9275,test,0.9275,0.0166,0.0313,0.0107,0.0139
7a6495a39d87,0,0,0.9216,test,0.9216,0.0186,0.0365,0.0099,0.0134
bc8c6a778cde,0,0,0.9888,test,0.9888,0.0017,0.0022,0.0033,0.0039
7f2123bc89a3,0,0,0.9575,test,0.9575,0.0022,0.01,0.018,0.0123
d28bd830c171,2,2,0.3913,test,0.1965,0.2002,0.3913,0.0732,0.1387
77acc2cafee1,0,0,0.9212,test,0.9212,0.0145,0.0193,0.0147,0.0303
0b8bdec9d869,0,0,0.8952,test,0.8952,0.0014,0.0198,0.0499,0.0338
dc6fa1b38b83,2,4,0.2692,test,0.1678,0.0824,0.2152,0.2653,0.2692
70ed3ec68b94,2,2,0.4504,test,0.0064,0.0253,0.4504,0.3709,0.147
cb75210abebe,2,2,0.5159,test,0.0984,0.0484,0.5159,0.2219,0.1154
4e54ccfd49b2,0,0,0.9746,test,0.9746,0.0062,0.0116,0.0025,0.005
8871e6a26596,2,3,0.3086,test,0.1282,0.0688,0.3054,0.3086,0.1889
2017cd92c63d,4,4,0.566,test,0.0011,0.0087,0.1166,0.3076,0.566
85fce24084da,2,2,0.5434,test,0.0127,0.0354,0.5434,0.2257,0.1827
dd110d2b8c21,2,3,0.3866,test,0.0146,0.0137,0.2593,0.3866,0.3258
6762b2b48ea5,1,4,0.4445,test,0.0296,0.2178,0.192,0.116,0.4445
c2f3281cf528,0,0,0.8029,test,0.8029,0.0814,0.0395,0.0096,0.0666
a80dab8eddf4,3,4,0.4111,test,0.0057,0.0187,0.3151,0.2494,0.4111
49d69c4c6290,2,3,0.6305,test,0.0003,0.0067,0.2157,0.6305,0.1468
0fcfc6301f3d,2,2,0.4886,test,0.0191,0.1202,0.4886,0.1061,0.2659
b0f8613305a3,0,0,0.587,test,0.587,0.1504,0.1947,0.0394,0.0284
1782142e17d9,0,0,0.9967,test,0.9967,0.001,0.0012,0.0004,0.0007
8cb6b5b2f19c,2,4,0.3349,test,0.0882,0.0645,0.2821,0.2303,0.3349
291e2ff3d834,2,3,0.4905,test,0.0036,0.0268,0.2967,0.4905,0.1825
8dc22e65c06f,1,0,0.5601,test,0.5601,0.1152,0.1501,0.0397,0.1349
18d8fdb140b7,2,3,0.4744,test,0.0026,0.0156,0.1926,0.4744,0.3149
5d6239c0fd39,0,0,0.9835,test,0.9835,0.0041,0.0079,0.0015,0.003
9274e75dc4d5,0,0,0.9445,test,0.9445,0.0105,0.0274,0.0063,0.0113
fb88783de055,0,0,0.8501,test,0.8501,0.0416,0.0425,0.0165,0.0493
1a90fad9ffa2,4,3,0.4901,test,0.0017,0.0107,0.1272,0.4901,0.3704
54bbe3da103e,2,4,0.4517,test,0.0107,0.0212,0.2849,0.2315,0.4517
753b14c27c83,4,2,0.3891,test,0.0583,0.0941,0.3891,0.1918,0.2668
942f544c4e15,0,0,0.934,test,0.934,0.0128,0.0321,0.0088,0.0123
436e1793d240,2,2,0.3591,test,0.2837,0.1054,0.3591,0.0796,0.1723
5dd2e26fc244,4,4,0.6949,test,0.0608,0.0211,0.064,0.1593,0.6949
c5bec7f1e5f3,0,0,0.9891,test,0.9891,0.0034,0.0035,0.0015,0.0025
cd563556cb57,0,0,0.93,test,0.93,0.0119,0.0172,0.0195,0.0215
84e8c62165b5,2,4,0.4434,test,0.0187,0.0112,0.2162,0.3105,0.4434
c6e1e9fbf39b,2,4,0.3219,test,0.0798,0.1427,0.2852,0.1704,0.3219
3286073a976e,0,0,0.6656,test,0.6656,0.0327,0.1424,0.1115,0.0478
80b5697f2a5e,0,0,0.9675,test,0.9675,0.0089,0.0103,0.0037,0.0095
6e092b306fe1,2,4,0.3618,test,0.0784,0.017,0.2867,0.2561,0.3618
94145d1f42cf,0,0,0.8286,test,0.8286,0.0096,0.0271,0.0216,0.113
8596a24a14bd,4,3,0.5482,test,0.0005,0.0014,0.0558,0.5482,0.3941
78d53c82a23e,2,2,0.5819,test,0.0105,0.061,0.5819,0.2249,0.1217
fdc685055659,0,0,0.9795,test,0.9795,0.0082,0.0072,0.0018,0.0033
405b4f78658f,3,4,0.5698,test,0.0007,0.0025,0.0358,0.3912,0.5698
0f6e645466a2,0,0,0.9073,test,0.9073,0.0028,0.0156,0.0306,0.0436
0da632ca45e0,0,0,0.978,test,0.978,0.0035,0.0074,0.0067,0.0043
ce207b69ff37,3,3,0.5558,test,0.0028,0.0132,0.296,0.5558,0.1321
5d3c8c1f57da,0,2,0.4552,test,0.3012,0.0785,0.4552,0.1162,0.0489
b9b99dad668d,1,2,0.5348,test,0.0692,0.1768,0.5348,0.0895,0.1297
f252046c0fe6,0,0,0.7626,test,0.7626,0.042,0.0449,0.0234,0.1271
3ffa14d60b24,2,3,0.3846,test,0.0065,0.0178,0.3295,0.3846,0.2617
03ff7d159f10,2,2,0.3993,test,0.0254,0.2101,0.3993,0.1831,0.182
46d3316c4857,4,3,0.5016,test,0.0015,0.0033,0.0364,0.5016,0.4572
5ea9e447bb62,0,0,0.887,test,0.887,0.0178,0.0432,0.0276,0.0244
7bc00e58d419,0,0,0.9935,test,0.9935,0.001,0.0027,0.001,0.0019
ea68b58a6e8f,0,0,0.9726,test,0.9726,0.0112,0.0079,0.004,0.0043
82ac8463fadd,1,0,0.928,test,0.928,0.0153,0.0318,0.0123,0.0126
338326891d84,0,0,0.971,test,0.971,0.0032,0.0068,0.0078,0.0112
0212dd31f623,0,0,0.9828,test,0.9828,0.0026,0.0049,0.0058,0.0038
b5204c0decc7,0,0,0.9889,test,0.9889,0.0032,0.0044,0.0018,0.0017
81d79d53ed7b,0,0,0.7657,test,0.7657,0.0946,0.0854,0.0117,0.0425
ee78ce914066,1,4,0.3637,test,0.0658,0.0667,0.3168,0.187,0.3637
7fdb177b8f7d,0,0,0.9916,test,0.9916,0.0021,0.0039,0.0009,0.0015
f8d62557ad0c,0,0,0.8082,test,0.8082,0.0396,0.064,0.066,0.0221
4f20f9a9a65b,2,3,0.6534,test,0.0338,0.0331,0.2008,0.6534,0.0789
3823acc4e464,0,0,0.9155,test,0.9155,0.0025,0.0106,0.013,0.0583
6bf26b777e3a,0,0,0.9401,test,0.9401,0.0063,0.0321,0.0055,0.016
fcc6aa6755e6,3,3,0.5088,test,0.022,0.0082,0.0695,0.5088,0.3914
6666c4f18396,2,2,0.3936,test,0.0366,0.1499,0.3936,0.154,0.2659
ab686895533e,0,0,0.8374,test,0.8374,0.0321,0.0604,0.0331,0.0369
0fffa73e2402,2,3,0.4552,test,0.0032,0.0305,0.2941,0.4552,0.2169
2cbfc6182ba2,2,2,0.4763,test,0.0053,0.0053,0.4763,0.3617,0.1514
c68dfa021d62,2,4,0.5076,test,0.006,0.0285,0.1714,0.2865,0.5076
9ed6c2b25767,0,0,0.7607,test,0.7607,0.0315,0.1331,0.0483,0.0264
db6207e62c7b,0,0,0.981,test,0.981,0.0005,0.0034,0.0046,0.0105
11d8e5eaee5b,0,0,0.9462,test,0.9462,0.0068,0.0216,0.0081,0.0173
fbfa925506f6,0,0,0.9796,test,0.9796,0.0015,0.0081,0.0029,0.0079
232549883508,2,2,0.3856,test,0.021,0.035,0.3856,0.3291,0.2293
6107a2e9f60e,0,0,0.6312,test,0.6312,0.1058,0.1401,0.0573,0.0657
4689b739d240,4,4,0.5171,test,0.0136,0.0854,0.1914,0.1924,0.5171
bb733062f494,2,2,0.4269,test,0.015,0.1128,0.4269,0.1318,0.3135
42985aa2e32f,0,0,0.3212,test,0.3212,0.1629,0.2884,0.1461,0.0814
fa3e544a7401,2,3,0.332,test,0.065,0.0169,0.2859,0.332,0.3002
1f0e223b8055,2,3,0.7579,test,0.0001,0.0007,0.112,0.7579,0.1293
1d74c4713e21,0,0,0.9649,test,0.9649,0.0019,0.0028,0.006,0.0244
ef7eb85b75fc,0,0,0.9289,test,0.9289,0.0181,0.023,0.0111,0.0189
ceb32a193eff,0,0,0.7424,test,0.7424,0.0627,0.1048,0.0364,0.0537
da44f80b422b,2,3,0.4994,test,0.0032,0.0109,0.281,0.4994,0.2055
f91cfa82b9d4,0,0,0.9887,test,0.9887,0.0003,0.0022,0.0037,0.0052
7e0598cc88a0,4,2,0.2965,test,0.0435,0.1065,0.2965,0.2741,0.2794
6d6fcf49e515,0,0,0.9933,test,0.9933,0.0023,0.0023,0.0014,0.0008
bcb0498ed2c1,0,0,0.6993,test,0.6993,0.0588,0.1604,0.0296,0.0518
38e111cac46f,2,2,0.6637,test,0.0061,0.0147,0.6637,0.1508,0.1647
6cfb7b44ef6f,4,4,0.6546,test,0.1047,0.0393,0.0641,0.1374,0.6546
d7078e8b0349,0,0,0.84,test,0.84,0.0024,0.0225,0.0518,0.0834
31452ad8808c,2,4,0.388,test,0.0123,0.0343,0.2109,0.3545,0.388
8e3b79e1f1f7,2,4,0.4575,test,0.0362,0.0212,0.208,0.2771,0.4575
ec01f0862669,0,0,0.9427,test,0.9427,0.0152,0.0165,0.0093,0.0163
2fb3a8606a77,2,2,0.3843,test,0.0311,0.0626,0.3843,0.1845,0.3376
1c0cf251b426,1,2,0.4136,test,0.015,0.1367,0.4136,0.1488,0.2859
fce93caa4758,4,2,0.38,test,0.1557,0.1064,0.38,0.0758,0.2822
f1979147aad4,0,0,0.9755,test,0.9755,0.0103,0.0072,0.0034,0.0036
c1437a7a52c9,0,0,0.8404,test,0.8404,0.0254,0.0906,0.0148,0.0288
0e3572b5884a,0,0,0.9559,test,0.9559,0.0066,0.0173,0.0064,0.0138
f86d1c404acb,0,0,0.9257,test,0.9257,0.0051,0.0238,0.012,0.0334
e68bdd36e589,0,0,0.9281,test,0.9281,0.0226,0.0304,0.0108,0.0081
f90f8931a9bc,0,0,0.9826,test,0.9826,0.0062,0.006,0.0028,0.0024
d83c3efade75,2,0,0.4838,test,0.4838,0.1224,0.2248,0.0535,0.1156
fdbc252813b1,0,0,0.99,test,0.99,0.0007,0.001,0.0064,0.002
a70d0f12a641,0,0,0.978,test,0.978,0.0023,0.0126,0.004,0.0032
82088c6734e6,0,0,0.9866,test,0.9866,0.0033,0.0042,0.002,0.0039
c1799a6f5c65,4,4,0.4537,test,0.0004,0.0042,0.1425,0.3992,0.4537
d93b61dc8f64,0,0,0.8381,test,0.8381,0.0159,0.0671,0.0347,0.0442
ab88081e5654,0,0,0.9739,test,0.9739,0.0028,0.0057,0.0113,0.0064
b07bc463b718,1,2,0.4899,test,0.0047,0.0259,0.4899,0.3986,0.0808
ea6a53e54d0f,0,0,0.7735,test,0.7735,0.0531,0.0564,0.0913,0.0257
186c1835eec5,0,0,0.906,test,0.906,0.0301,0.0246,0.0135,0.0258
883ddb650967,0,0,0.9471,test,0.9471,0.0089,0.0154,0.0127,0.0159
64bad93fde3f,4,4,0.6022,test,0.0496,0.0355,0.0928,0.2199,0.6022
1db0393cdbc1,0,0,0.9891,test,0.9891,0.0008,0.0027,0.0043,0.0031
e0313be77035,0,0,0.9479,test,0.9479,0.0029,0.0135,0.0211,0.0146
b55d2ddb3e75,4,3,0.8266,test,0.0002,0.0012,0.081,0.8266,0.0911
17f6c7072f61,0,0,0.9941,test,0.9941,0.002,0.0025,0.0006,0.0008
73881f55a3ec,1,0,0.6382,test,0.6382,0.1462,0.1334,0.0173,0.0648
19722bff5a09,1,0,0.3853,test,0.3853,0.239,0.1702,0.0396,0.1659
7831ce1d895e,0,0,0.8859,test,0.8859,0.0321,0.0256,0.0099,0.0465
1eee55494271,0,0,0.89,test,0.89,0.0107,0.0416,0.0135,0.0442
aca88f566228,2,2,0.4897,test,0.0045,0.0123,0.4897,0.2009,0.2925
383e72af1955,3,2,0.4275,test,0.0028,0.0097,0.4275,0.3237,0.2364
4c52922f3bfd,2,3,0.4535,test,0.0078,0.0191,0.1853,0.4535,0.3343
0953c0ac1735,2,3,0.6983,test,0.0,0.0018,0.1585,0.6983,0.1413
ffa47f6a7bf4,2,3,0.578,test,0.0002,0.0014,0.2481,0.578,0.1723
d364423ec6f9,2,2,0.3576,test,0.0291,0.0283,0.3576,0.3539,0.2311
68987fb159ab,0,0,0.9379,test,0.9379,0.0137,0.0263,0.0077,0.0144
55034b1dbff2,2,2,0.3063,test,0.164,0.097,0.3063,0.2336,0.1991
31360e44ac64,0,0,0.7934,test,0.7934,0.0495,0.0937,0.0301,0.0333
6c315ad3d07f,2,2,0.385,test,0.006,0.0335,0.385,0.2324,0.3432
b5c80d0ed0ff,2,3,0.3358,test,0.0768,0.0086,0.3089,0.3358,0.2699
77f69c7ff324,2,3,0.6302,test,0.0067,0.0106,0.1878,0.6302,0.1647
64fedbf97473,4,4,0.6766,test,0.0007,0.0035,0.1323,0.1869,0.6766
5a444c32cd9a,0,0,0.9331,test,0.9331,0.0128,0.0202,0.02,0.0139
5f4a8c074bd5,0,0,0.9969,test,0.9969,0.0005,0.0014,0.0005,0.0007
29b52f64d2db,1,3,0.4932,test,0.1343,0.0119,0.1138,0.4932,0.2468
207dd0487264,0,0,0.9807,test,0.9807,0.0091,0.006,0.0017,0.0024
1a1b4b2450ca,2,2,0.5716,test,0.1385,0.0232,0.5716,0.1441,0.1226
dc0f6e5b489b,0,0,0.9222,test,0.9222,0.0085,0.0244,0.0209,0.024
2f81ee5f2926,0,0,0.9944,test,0.9944,0.0004,0.0017,0.0016,0.002
52dbec057cc8,2,0,0.368,test,0.368,0.0953,0.1269,0.2421,0.1677
6cee2e148520,0,0,0.947,test,0.947,0.0073,0.0285,0.0055,0.0118
97fdee242fea,0,0,0.91,test,0.91,0.0058,0.0259,0.0295,0.0288
ef8c39eb9157,0,0,0.8592,test,0.8592,0.0148,0.0479,0.0353,0.0428
157d17349cc6,2,3,0.4378,test,0.1015,0.0395,0.1356,0.4378,0.2856
4dd9d29eae5d,1,2,0.4171,test,0.1513,0.1506,0.4171,0.118,0.1629
571bbdbf585e,0,0,0.9935,test,0.9935,0.0017,0.0033,0.0004,0.0011
67ed8cc78b97,0,0,0.9779,test,0.9779,0.0013,0.0049,0.0129,0.0029
934104859e68,0,0,0.9387,test,0.9387,0.0187,0.0227,0.0061,0.0138
4a693dd3921a,4,3,0.6674,test,0.0028,0.0033,0.1246,0.6674,0.2019
143db89c11c8,0,0,0.9121,test,0.9121,0.0284,0.03,0.0096,0.0199
ca30a97e9d13,1,3,0.4871,test,0.0117,0.1014,0.2355,0.4871,0.1643
7635921c5efb,0,0,0.974,test,0.974,0.0017,0.0048,0.006,0.0134
97c6cb55866d,0,0,0.4957,test,0.4957,0.1408,0.1457,0.0381,0.1797
e740af6ac6ea,4,4,0.3868,test,0.0205,0.0158,0.3347,0.2421,0.3868
4b6cb0bcfd44,0,0,0.9485,test,0.9485,0.0056,0.0143,0.0179,0.0136
885fa5fc5da8,0,0,0.992,test,0.992,0.0027,0.0026,0.001,0.0017
38c7153457e2,0,0,0.9925,test,0.9925,0.0021,0.0032,0.0011,0.0011
2d7666b8884f,1,0,0.4385,test,0.4385,0.1857,0.1718,0.0886,0.1154
60edda7b4871,0,0,0.8701,test,0.8701,0.0041,0.0335,0.0189,0.0734
2d3f4094c08a,0,0,0.9844,test,0.9844,0.0014,0.0041,0.0042,0.0059
523ff163211b,2,4,0.3632,test,0.0115,0.0186,0.259,0.3478,0.3632
784d6d302f98,0,0,0.9682,test,0.9682,0.0052,0.0124,0.0074,0.0069
b0c9a492e068,0,0,0.5705,test,0.5705,0.1816,0.1386,0.0275,0.0818
0eff8eacb2f7,2,2,0.4946,test,0.0037,0.0491,0.4946,0.3219,0.1307
98441214557f,0,0,0.9572,test,0.9572,0.0157,0.0147,0.0065,0.006
07929d32b5b3,1,2,0.4447,test,0.1013,0.1382,0.4447,0.1851,0.1307
0243404e8a00,4,4,0.3225,test,0.1119,0.0621,0.2685,0.2351,0.3225
98e44127872f,0,0,0.989,test,0.989,0.0033,0.0047,0.001,0.002
7d626a7ffe76,4,4,0.8279,test,0.002,0.0022,0.0273,0.1406,0.8279
c102db7634d8,1,0,0.2666,test,0.2666,0.0942,0.2359,0.1893,0.214
51d780864365,2,4,0.4998,test,0.0034,0.0269,0.2447,0.2252,0.4998
44f7f3ef9d50,0,0,0.4654,test,0.4654,0.1759,0.156,0.0484,0.1544
697538183db5,3,3,0.5432,test,0.0014,0.0034,0.1122,0.5432,0.3397
8e6df9eedcd8,0,0,0.9601,test,0.9601,0.0075,0.0152,0.0088,0.0084
318eb706a134,0,0,0.9835,test,0.9835,0.0013,0.0033,0.0042,0.0078
34a7dbd3f05c,0,0,0.8725,test,0.8725,0.0012,0.0062,0.1074,0.0126
c5a0e84e955d,0,0,0.6935,test,0.6935,0.0298,0.1158,0.0852,0.0757
e32a359be36d,3,3,0.5984,test,0.0097,0.0027,0.173,0.5984,0.2162
de778495a1cd,2,4,0.3432,test,0.0088,0.017,0.3199,0.3112,0.3432
0daddc45d832,0,0,0.959,test,0.959,0.0172,0.0148,0.0029,0.0061
8dfa629ca74e,2,2,0.2937,test,0.0754,0.1626,0.2937,0.2353,0.233
4294a14c656a,3,4,0.3658,test,0.0072,0.0332,0.2854,0.3084,0.3658
80964d8e0863,4,3,0.4096,test,0.0271,0.0258,0.3135,0.4096,0.224
fba493e17448,2,3,0.512,test,0.0007,0.0043,0.1851,0.512,0.298
93d6d20a5ee3,0,0,0.9639,test,0.9639,0.0073,0.021,0.0038,0.004
d85ea1220a03,4,4,0.476,test,0.0093,0.0077,0.0954,0.4115,0.476
9d9bfefa809c,2,4,0.3652,test,0.2197,0.0783,0.1277,0.209,0.3652
7743f4e04a6d,2,2,0.5529,test,0.0136,0.0256,0.5529,0.2888,0.1191
18323d8f2470,2,3,0.3919,test,0.0071,0.0245,0.274,0.3919,0.3026
3f3de2a6b0f5,2,3,0.3411,test,0.2344,0.0279,0.3022,0.3411,0.0944
b60dbf9f0744,2,3,0.3531,test,0.0273,0.0723,0.2645,0.3531,0.2828
2221cf5c7935,0,2,0.3577,test,0.0332,0.0699,0.3577,0.2309,0.3083
1c13a1483f4a,0,0,0.9642,test,0.9642,0.0079,0.0148,0.0051,0.008
3ccf96c1dd6d,4,4,0.4893,test,0.0024,0.0107,0.2088,0.2888,0.4893
a47432cd41e7,1,2,0.3946,test,0.0917,0.2081,0.3946,0.0761,0.2295
89b044cbaf85,2,3,0.8396,test,0.0001,0.0009,0.0518,0.8396,0.1076
042470a92154,3,2,0.4292,test,0.0029,0.0094,0.4292,0.4148,0.1437
4beeca5cc859,0,0,0.9846,test,0.9846,0.0042,0.0053,0.0038,0.0021
b2b79b37d314,0,0,0.6227,test,0.6227,0.0775,0.1197,0.047,0.1332
f3bb996b45ce,0,0,0.8843,test,0.8843,0.0477,0.0207,0.0067,0.0407
cd3fd04d72f5,2,3,0.3366,test,0.032,0.0387,0.3346,0.3366,0.2581
e251bdf05b85,0,0,0.8363,test,0.8363,0.0307,0.0409,0.0549,0.0372
fbdc796290d4,0,0,0.9886,test,0.9886,0.0037,0.0046,0.0007,0.0025
17d997fe1090,0,0,0.945,test,0.945,0.0119,0.0251,0.0037,0.0144
c7d0deb71576,0,0,0.8481,test,0.8481,0.0354,0.0743,0.0178,0.0244
fa748b57262b,2,3,0.6215,test,0.0025,0.0018,0.1402,0.6215,0.234
a77dbec966d4,1,2,0.388,test,0.0205,0.0433,0.388,0.3068,0.2413
c9d42d7534e0,2,3,0.4559,test,0.0012,0.0057,0.3608,0.4559,0.1764
6e092caa065f,0,0,0.9855,test,0.9855,0.0033,0.0053,0.002,0.0039
f2ee81781411,2,4,0.4871,test,0.0086,0.0109,0.3354,0.1579,0.4871
2608e1dac5b1,2,2,0.534,test,0.0167,0.0115,0.534,0.2784,0.1594
aa94cc4bfd84,0,0,0.9529,test,0.9529,0.0114,0.0227,0.0065,0.0064
8ffa608170d3,0,0,0.6939,test,0.6939,0.0418,0.0828,0.0817,0.0998
a963ac561580,0,0,0.9024,test,0.9024,0.0224,0.0433,0.0137,0.0182
8564b7aa3c1a,0,0,0.9786,test,0.9786,0.0071,0.0089,0.002,0.0034
23fca0693e2a,2,3,0.4478,test,0.0111,0.0398,0.1382,0.4478,0.3631
32ed318235b8,0,0,0.9858,test,0.9858,0.0035,0.0058,0.0022,0.0027
e160a3b19911,0,0,0.9633,test,0.9633,0.0053,0.0083,0.0096,0.0135
66b88a4bc474,0,0,0.8453,test,0.8453,0.0052,0.0202,0.0935,0.0357
8acdf12f412a,0,0,0.9908,test,0.9908,0.0025,0.0025,0.0015,0.0027
fe674c2f73f5,1,1,0.336,test,0.2761,0.336,0.2106,0.0338,0.1435
17eb5d4ad740,2,3,0.6317,test,0.0001,0.0009,0.1543,0.6317,0.213
0cb6b898389f,0,0,0.9426,test,0.9426,0.0018,0.0062,0.0165,0.0328
999ad827ed35,0,0,0.9734,test,0.9734,0.0039,0.0131,0.0043,0.0053
