id,detected,status,px_err,norm_err,disc_used,laterality,laterality_gt,confidence,candidates,ms
IDRiD_046,True,DETECTED,37.612,0.0088,True,left,left,0.545,113,1649.5
IDRiD_047,True,DETECTED,375.6441,0.0876,True,right,right,0.522,112,1638.0
IDRiD_048,True,DETECTED,71.3448,0.0166,True,right,right,0.519,111,1626.2
IDRiD_049,True,DETECTED,517.7975,0.1208,True,left,left,0.535,111,1648.6
IDRiD_050,True,DETECTED,58.06,0.0135,True,right,right,0.55,112,1697.5
IDRiD_051,True,DETECTED,312.1002,0.0728,False,unknown,left,0.466,46,706.1
IDRiD_052,True,DETECTED,176.3981,0.0411,True,right,right,0.535,113,1649.1
IDRiD_053,True,DETECTED,239.131,0.0558,True,right,right,0.505,113,1693.8
IDRiD_054,True,DETECTED,62.4854,0.0146,True,left,left,0.586,112,1608.9
IDRiD_055,True,DETECTED,82.4845,0.0192,True,right,right,0.566,113,1669.6
IDRiD_056,True,DETECTED,74.8858,0.0175,True,left,left,0.581,113,1645.2
IDRiD_057,True,DETECTED,184.6304,0.0431,True,right,right,0.496,111,1662.2
IDRiD_058,True,DETECTED,64.5676,0.0151,True,left,left,0.559,113,1647.6
IDRiD_059,True,DETECTED,361.2979,0.0843,True,right,right,0.501,112,1736.7
IDRiD_060,True,DETECTED,41.0466,0.0096,True,right,right,0.527,112,1655.1
IDRiD_061,True,DETECTED,1501.1001,0.3501,False,unknown,left,0.522,45,692.3
IDRiD_062,True,DETECTED,344.0506,0.0802,True,right,right,0.501,113,1653.8
IDRiD_063,True,DETECTED,839.3307,0.1957,True,left,left,0.557,101,1488.1
IDRiD_064,True,DETECTED,62.7376,0.0146,True,left,left,0.558,111,1616.9
IDRiD_065,True,DETECTED,272.6825,0.0636,True,left,left,0.62,111,1607.7
IDRiD_066,True,DETECTED,153.9418,0.0359,True,right,right,0.482,112,1653.8
IDRiD_067,True,DETECTED,1100.4363,0.2566,False,unknown,left,0.527,45,682.5
IDRiD_068,True,DETECTED,47.5946,0.0111,True,left,left,0.538,111,1667.3
IDRiD_069,True,DETECTED,40.1424,0.0094,True,right,right,0.55,111,1640.3
IDRiD_070,True,DETECTED,610.8375,0.1425,True,left,left,0.557,108,1574.9
IDRiD_071,True,DETECTED,20.694,0.0048,True,right,right,0.557,113,1648.5
IDRiD_072,True,DETECTED,108.7046,0.0254,True,left,left,0.573,111,1669.2
IDRiD_073,True,DETECTED,111.4594,0.026,True,right,right,0.504,113,1678.0
IDRiD_074,True,DETECTED,111.2371,0.0259,True,right,right,0.539,113,1638.3
IDRiD_075,True,DETECTED,46.4053,0.0108,True,right,right,0.561,111,1649.2
IDRiD_076,True,DETECTED,52.5437,0.0123,True,right,right,0.524,112,1623.9
IDRiD_077,True,DETECTED,143.3765,0.0334,True,left,left,0.565,113,1663.8
IDRiD_078,True,DETECTED,82.8109,0.0193,True,right,right,0.531,113,1638.1
IDRiD_079,True,DETECTED,61.6715,0.0144,True,right,right,0.539,111,1625.3
IDRiD_080,True,DETECTED,466.6438,0.1088,True,right,right,0.577,101,1511.4
IDRiD_081,True,DETECTED,55.2123,0.0129,True,right,right,0.529,112,1683.9
IDRiD_082,True,DETECTED,101.997,0.0238,True,left,left,0.556,113,1658.1
IDRiD_083,True,DETECTED,1071.5136,0.2499,False,unknown,left,0.53,46,684.7
IDRiD_084,True,DETECTED,81.0561,0.0189,True,right,right,0.559,112,1628.1
IDRiD_085,True,DETECTED,316.7265,0.0739,True,left,left,0.55,112,1636.2
IDRiD_086,True,DETECTED,1623.5426,0.3786,False,unknown,right,0.52,45,685.8
IDRiD_087,True,DETECTED,70.114,0.0164,True,left,left,0.579,112,1640.0
IDRiD_088,True,DETECTED,1407.0321,0.3281,False,unknown,left,0.551,45,675.2
IDRiD_089,True,DETECTED,77.9719,0.0182,True,right,right,0.556,112,1625.4
IDRiD_090,True,DETECTED,46.61,0.0109,True,right,right,0.592,113,1634.9
IDRiD_091,True,DETECTED,280.5817,0.0654,True,left,left,0.512,113,1635.5
IDRiD_092,True,DETECTED,299.6636,0.0699,True,right,right,0.537,112,1625.3
IDRiD_093,True,DETECTED,365.4725,0.0852,True,right,right,0.524,112,1642.0
IDRiD_094,True,DETECTED,243.8435,0.0569,True,right,right,0.545,112,1655.6
IDRiD_095,True,DETECTED,117.6582,0.0274,True,left,left,0.567,113,1659.4
IDRiD_096,True,DETECTED,42.4199,0.0099,True,right,right,0.55,112,1627.3
IDRiD_097,True,DETECTED,184.2349,0.043,True,left,left,0.549,111,1621.6
IDRiD_098,True,DETECTED,269.6348,0.0629,True,right,right,0.522,113,1669.9
IDRiD_099,True,DETECTED,60.5358,0.0141,True,right,right,0.55,112,1638.1
IDRiD_100,True,DETECTED,59.5548,0.0139,True,right,right,0.504,112,1631.5
IDRiD_101,True,DETECTED,1014.9327,0.2367,False,unknown,left,0.499,46,686.1
IDRiD_102,True,DETECTED,1911.8099,0.4459,True,left,right,0.561,84,1298.6
IDRiD_103,True,DETECTED,95.1093,0.0222,True,left,left,0.557,111,1630.0
